date,url,arabic_article_text,actor1,actor2,location,tone,event_type
2025-02-01 23:00:00.000000 UTC,http://www.elbrqnews.com/New-News/174357.html,د. نيفين بسيوني تعلن دعمها وتأييدها الكامل للرئيس السيسي بشأن القضية الفلسطينية,ISRAEL,,"Jerusalem, Israel (general), Israel",0.0,14
2025-02-01 23:30:00.000000 UTC,http://www.elbrqnews.com/New-News/174366.html,عاجل.. متحدث الصحة: توجيهات من الرئيس بتقديم الدعم للأشقاء بغزة,EGYPT,GAZA,"Wizarat As Sihhah, Al Qahirah, Egypt",3.31753554502369,50
2025-02-01 23:45:00.000000 UTC,https://bawabatii.net/news322193.html,5 أولويات رئيسية خلال لقاء نتنياهو - ترمب المرتقب في واشنطن... الحوثي على رأسها (تفاصيل),ENVOY,,Iran,-2.94736842105263,42
2025-02-02 14:15:00.000000 UTC,https://www.dostor.org/4949916,صلاح مغاوري: الرئيس دائما يتحدث فى المحافل الدولية عن الحق الفلسطيني بشكل واضح,,CAIRO,"Cairo, Al Qahirah, Egypt",-0.61349693251534,40
2025-02-02 14:15:00.000000 UTC,http://www.elbrqnews.com/New-News/176147.html,"""لا توجد تفاصيل واضحة"".. رئيس وزراء قطر يعلق على مفاوضات المرحلة الثانية من اتفاق غزة - الأول نيوز",HAMAS,EGYPT,"Cairo, Al Qahirah, Egypt",1.79372197309417,120
2025-02-02 22:30:00.000000 UTC,https://3yonnews.com/1932266,وزير المالية يترأس الاجتماع السعودي الألماني لتعزيز التعاون الاقتصادي,GERMANY,KINGDOM,"Wizarat Al Istithmar, Al Qahirah, Egypt",1.16279069767442,40
2025-02-02 22:30:00.000000 UTC,https://www.dostor.org/4950406,نائب رئيس جامعة الأزهر يمثن رفض القيادة السياسية لتهجير الفلسطينيين,DEPUTY,UNIVERSITY,"Al-Azhar University, Gaza Strip (general), Gaza Strip",5.20446096654275,42
2025-02-02 22:45:00.000000 UTC,http://www.elbrqnews.com/New-News/177954.html,وزير الخارجية والهجرة يعقد لقاءً مع الجالية المصرية في المنامة,EGYPTIAN,MANAMA,"Manama, Al Manamah, Bahrain",3.07692307692307,46
2025-02-02 23:00:00.000000 UTC,https://www.aljazeera.net/news/2025/2/3/%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84-%D9%8A%D8%B7%D8%A8%D9%82-%D8%AD%D8%B5%D8%A7%D8%B1%D9%87-%D8%B9%D9%84%D9%89-%D9%85%D8%AE%D9%8A%D9%85-%D8%AC%D9%86%D9%8A%D9%86,الاحتلال يطبق حصاره على مخيم جنين لليوم الـ14 ورئيس أركانه يتوعد باقتباس من التوراة,FIGHTER,,"Mukhayyam Janin, West Bank (general), West Bank",-7.05329153605016,12
2025-02-02 23:15:00.000000 UTC,https://www.albayan.ae/opinions/articles/24728,لا يا سيادة الرئيس!,EGYPT,GAZA,"Gaza, Israel (general), Israel",-2.37623762376238,36
2025-02-02 23:15:00.000000 UTC,https://www.albayan.ae/economy/money/investing/24714,فؤاد محمد رئيساً تنفيذياً جديداً لـ«المصرف»,ISLAMIC,BANK,"Dubai, Dubayy, United Arab Emirates",3.8961038961039,50
2025-02-02 23:30:00.000000 UTC,https://pnn.ps/news/701180,عقب نشرهما استطلاع وحلقة تلفزيونية : وزير الصحة يستقبل وفدًا من ملتقى الطلبة وشبكة PNN ويعلن تبنيه خطوات تطويرية,WEST BANK,,"Bethlehem, West Bank (general), West Bank",-1.13636363636364,20
2025-02-02 23:30:00.000000 UTC,https://www.kuna.net.kw/ArticleDetails.aspx?id=3217355&language=ar,كونا : وزير الخارجية الإيراني يدعو إلى تعزيز علاقات بلاده الاقتصادية والتجارية مع كازاخستان - الشؤون السياسية,MINIST,TEHRAN,"Tehran, Tehran, Iran",2.76243093922652,60
